Date, Organic keywords: 1–3, Organic keywords: 4–10, Organic keywords: 21–50, Organic keywords: 51+
2026-06-29, 942, 855, 1137, 25
2026-06-30, 953, 852, 1154, 23
2026-07-01, 962, 838, 1169, 23
2026-07-02, 947, 834, 1170, 23
2026-07-03, 931, 818, 1175, 22
2026-07-04, 904, 798, 1195, 23
2026-07-05, 879, 781, 1207, 23
2026-07-06, 848, 782, 1193, 20
2026-07-07, 835, 776, 1174, 17
2026-07-08, 824, 769, 1179, 15
2026-07-09, 813, 764, 1162, 13
2026-07-10, 805, 764, 1183, 14
2026-07-11, 797, 765, 1206, 14
2026-07-12, 791, 772, 1239, 17
2026-07-13, 788, 771, 1257, 17
2026-07-14, 780, 779, 1284, 17
2026-07-15, 779, 776, 1327, 19
2026-07-16, 777, 782, 1331, 18
2026-07-17, 767, 783, 1328, 16
2026-07-18, 756, 795, 1332, 17
2026-07-19, 743, 812, 1325, 18
2026-07-20, 739, 831, 1315, 15
2026-07-21, 740, 846, 1301, 14
2026-07-22, 741, 854, 1283, 15
2026-07-23, 738, 867, 1276, 15
2026-07-24, 734, 865, 1223, 13
2026-07-25, 723, 869, 1173, 13
2026-07-26, 713, 873, 1110, 12
2026-07-27, 710, 880, 1060, 11
2026-07-28, 709, 881, 984, 11
2026-07-29, 708, 879, 981, 11
